embedding	source	sample	reproductive_state	component_1	component_2
separate_pca	Reanalysis	Fe_ML_SF_2	Midlegs	-39.02441726967299	-15.188282415020176
separate_pca	Reanalysis	Fe_ML_SF_3	Midlegs	-35.026502983924985	-14.475996360207118
separate_pca	Reanalysis	Fe_Os_SF_1	Proboscis	-29.139682637879083	-4.639008925857841
separate_pca	Reanalysis	Fe_Os_SF_2	Proboscis	-15.432455154342087	-4.867310356506779
separate_pca	Reanalysis	Fe_Os_SF_3	Proboscis	-19.84156194565173	-0.09814058299326611
separate_pca	Reanalysis	Fe_Os_SF_4	Proboscis	-26.030379048123844	-1.3938561732425339
separate_pca	Reanalysis	Fe_Os_SF_5	Proboscis	-9.802227763455937	-0.3971095061306002
separate_pca	Reanalysis	Fe_Ov_O_1	Ovaries	167.47928877188576	-101.1270374469963
separate_pca	Reanalysis	Fe_Ov_O_2	Ovaries	169.86652572176664	-102.03304376908522
separate_pca	Reanalysis	Fe_Ov_O_3	Ovaries	163.55303181715814	-100.8073268358584
separate_pca	Reanalysis	Fe_Ov_O_4	Ovaries	166.91309429027515	-100.92276589458588
separate_pca	Reanalysis	Fe_Ov_SF_1	Ovaries	182.14086727792034	-103.5947653005602
separate_pca	Reanalysis	Fe_Ov_SF_2	Ovaries	180.69378008640277	-103.89018189744297
separate_pca	Reanalysis	Fe_Ov_SF_3	Ovaries	179.32629928517164	-104.2764855418102
separate_pca	Reanalysis	Fe_Pa_SF_1	Palps	-40.23850842709121	0.7259349610978145
separate_pca	Reanalysis	Fe_Pa_SF_2	Palps	-27.44349278877476	4.617655935189979
separate_pca	Reanalysis	Fe_Pa_SF_3	Palps	-23.25531200623505	5.509866423522101
separate_pca	Reanalysis	Fe_Pa_SF_4	Palps	-11.981506711042353	6.459955094203636
separate_pca	Reanalysis	Fe_Rs_BF_1	Rostrum	-25.870558042586385	8.285575658927499
separate_pca	Reanalysis	Fe_Rs_BF_2	Rostrum	-15.037756732661359	8.245058953022355
separate_pca	Reanalysis	Fe_Rs_BF_3	Rostrum	-28.213335368301493	3.2821824579901135
separate_pca	Reanalysis	Fe_Rs_SF_1	Rostrum	-29.30576153222965	2.6705033268912537
separate_pca	Reanalysis	Fe_Rs_SF_2	Rostrum	-24.392314567275957	4.7566926656705535
separate_pca	Reanalysis	Fe_Rs_SF_3	Rostrum	-20.149858548684417	3.029159239911101
separate_pca	Reanalysis	Ma_An_1	Antenna	53.168621085602936	27.926256970962886
separate_pca	Reanalysis	Ma_An_2	Antenna	48.41025543680679	28.329013174494122
separate_pca	Reanalysis	Ma_An_3	Antenna	46.875499168622085	28.360732153573256
separate_pca	Reanalysis	Ma_At_1	Abdominal Tip	-76.59241471441412	-13.064690185290278
