embedding	source	sample	reproductive_state	component_1	component_2
joint_pca	Reanalysis	Fe_Ov_12hBF_1_TPM	12 hours post-blood-meal	-32.86037436168575	-22.137737540945835
joint_pca	Reanalysis	Fe_Ov_12hBF_2_TPM	12 hours post-blood-meal	-32.63228708963836	-21.87151080258527
joint_pca	Reanalysis	Fe_Ov_12hBF_3_TPM	12 hours post-blood-meal	-32.33436373914598	-20.286413591813762
joint_pca	Reanalysis	Fe_Ov_24hBF_1_TPM	24 hours (1 day) post-blood-meal	-32.05293150609652	-26.647571489186625
joint_pca	Reanalysis	Fe_Ov_24hBF_2_TPM	24 hours (1 day) post-blood-meal	-31.90207341398066	-26.38392211923222
joint_pca	Reanalysis	Fe_Ov_24hBF_3_TPM	24 hours (1 day) post-blood-meal	-32.285567997744984	-25.184265034532782
joint_pca	Reanalysis	Fe_Ov_48hBF_1_TPM	48 hours (2 days) post-blood-meal	-33.42829983358531	-26.25626091837628
joint_pca	Reanalysis	Fe_Ov_48hBF_2_TPM	48 hours (2 days) post-blood-meal	-33.414906773986274	-23.417674602262487
joint_pca	Reanalysis	Fe_Ov_48hBF_3_TPM	48 hours (2 days) post-blood-meal	-32.94159238331621	-23.59218119801462
joint_pca	Reanalysis	Fe_Ov_72hBF_1_TPM	72 hours (3 days) post-blood-meal	-34.138813236602296	47.76983066253089
joint_pca	Reanalysis	Fe_Ov_72hBF_2_TPM	72 hours (3 days) post-blood-meal	-33.494640474476086	33.79277999741293
joint_pca	Reanalysis	Fe_Ov_72hBF_3_TPM	72 hours (3 days) post-blood-meal	-33.353490175820546	48.491551316206646
joint_pca	Reanalysis	Fe_Ov_96hBF_1_TPM	96 hours (4 days) post-blood-meal	-33.140801811467725	24.447151623693184
joint_pca	Reanalysis	Fe_Ov_96hBF_2_TPM	96 hours (4 days) post-blood-meal	-33.860521253561615	26.565848591908246
joint_pca	Reanalysis	Fe_Ov_96hBF_3_TPM	96 hours (4 days) post-blood-meal	-32.902296512947785	25.5199603023817
joint_pca	Reanalysis	Fe_Ov_6dBF_Retained_1_TPM	6 days post-blood-meal (eggs retained)	-34.08708486701929	15.740348077118067
joint_pca	Reanalysis	Fe_Ov_6dBF_Retained_2_TPM	6 days post-blood-meal (eggs retained)	-34.12450283280599	17.330458437570044
joint_pca	Reanalysis	Fe_Ov_6dBF_Retained_3_TPM	6 days post-blood-meal (eggs retained)	-34.146870142833784	17.175315523506466
joint_pca	Reanalysis	Fe_Ov_6dBF_Laid_1_TPM	6 days post-blood-meal (eggs laid <5 hours prior)	-32.22471882022408	18.89798023866947
joint_pca	Reanalysis	Fe_Ov_6dBF_Laid_2_TPM	6 days post-blood-meal (eggs laid <5 hours prior)	-32.17364678560988	19.616724183936107
joint_pca	Reanalysis	Fe_Ov_6dBF_Laid_3_TPM	6 days post-blood-meal (eggs laid <5 hours prior)	-31.02518047155044	19.762544565617883
joint_pca	Reanalysis	Fe_Ov_13dBF_1_TPM	13 days post-blood-meal (eggs laid >1 week prior)	-34.62508640616719	-4.648719876624854
joint_pca	Reanalysis	Fe_Ov_13dBF_2_TPM	13 days post-blood-meal (eggs laid >1 week prior)	-33.61122191831881	-6.66982696324505
joint_pca	Reanalysis	Fe_Ov_13dBF_3_TPM	13 days post-blood-meal (eggs laid >1 week prior)	-34.825873457995854	-5.553991440874831
